"LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
"All Regions","0-16","mobile_phone_use","All Methods",0,0,3
"All Regions","0-16","mobile_phone_use","Fixed camera",2101,0,0
"All Regions","0-16","mobile_phone_use","Mobile camera",0,0,0
"All Regions","0-16","mobile_phone_use","Police issued",15,0,0
"All Regions","0-16","non_wearing_seatbelts","All Methods",0,0,4
"All Regions","0-16","non_wearing_seatbelts","Camera",2,0,0
"All Regions","0-16","non_wearing_seatbelts","Fixed camera",801,0,0
"All Regions","0-16","non_wearing_seatbelts","Mobile camera",0,0,0
"All Regions","0-16","non_wearing_seatbelts","Police issued",35,7,26
"All Regions","0-16","speed_fines","All Methods",0,1,26
"All Regions","0-16","speed_fines","Average speed camera",45,0,0
"All Regions","0-16","speed_fines","Camera",23,0,0
"All Regions","0-16","speed_fines","Fixed camera",7975,0,0
"All Regions","0-16","speed_fines","Mobile camera",11114,0,0
"All Regions","0-16","speed_fines","Other",0,5,10
"All Regions","0-16","speed_fines","Police issued",136,8,22
"All Regions","0-16","speed_fines","Red light camera",239,0,0
"All Regions","0-16","unlicensed_driving","Manual Action",651,349,815
"All Regions","0-16","unlicensed_driving","Police issued",4,400,827
"All Regions","17-25","mobile_phone_use","All Methods",0,2,81
"All Regions","17-25","mobile_phone_use","Camera",193,0,0
"All Regions","17-25","mobile_phone_use","Fixed camera",9694,0,0
"All Regions","17-25","mobile_phone_use","Mobile camera",11,0,0
"All Regions","17-25","mobile_phone_use","Police issued",7005,2,33
"All Regions","17-25","non_wearing_seatbelts","All Methods",0,17,222
"All Regions","17-25","non_wearing_seatbelts","Camera",551,0,0
"All Regions","17-25","non_wearing_seatbelts","Fixed camera",5004,0,0
"All Regions","17-25","non_wearing_seatbelts","Mobile camera",12,0,0
"All Regions","17-25","non_wearing_seatbelts","Police issued",3811,29,362
"All Regions","17-25","speed_fines","All Methods",0,8,635
"All Regions","17-25","speed_fines","Average speed camera",4355,0,0
"All Regions","17-25","speed_fines","Camera",11701,0,0
"All Regions","17-25","speed_fines","Fixed camera",63424,0,0
"All Regions","17-25","speed_fines","Mobile camera",176632,0,0
"All Regions","17-25","speed_fines","Other",1,8,81
"All Regions","17-25","speed_fines","Police issued",84324,39,394
"All Regions","17-25","speed_fines","Red light camera",17817,0,0
"All Regions","17-25","unlicensed_driving","Manual Action",9321,824,6166
"All Regions","17-25","unlicensed_driving","Police issued",1733,868,5854
"All Regions","26-39","mobile_phone_use","All Methods",0,6,155
"All Regions","26-39","mobile_phone_use","Camera",863,0,0
"All Regions","26-39","mobile_phone_use","Fixed camera",27876,0,0
"All Regions","26-39","mobile_phone_use","Mobile camera",79,0,0
"All Regions","26-39","mobile_phone_use","Police issued",14049,1,45
"All Regions","26-39","non_wearing_seatbelts","All Methods",0,20,349
"All Regions","26-39","non_wearing_seatbelts","Camera",1575,0,0
"All Regions","26-39","non_wearing_seatbelts","Fixed camera",13411,0,0
"All Regions","26-39","non_wearing_seatbelts","Mobile camera",66,0,0
"All Regions","26-39","non_wearing_seatbelts","Police issued",7072,43,594
"All Regions","26-39","speed_fines","All Methods",0,22,1194
"All Regions","26-39","speed_fines","Average speed camera",9905,0,0
"All Regions","26-39","speed_fines","Camera",30203,0,0
"All Regions","26-39","speed_fines","Fixed camera",161407,0,0
"All Regions","26-39","speed_fines","Mobile camera",405636,0,0
"All Regions","26-39","speed_fines","Other",2,13,95
