"YEAR","MONTH","FINES"
2008,"01",2795478
2009,"01",2741523
2010,"01",2690192
2011,"01",3015982
2012,"01",3171137
2013,"01",3054093
2014,"01",3802419
2015,"01",3926125
2016,"01",3380380
2017,"01",3839573
2018,"01",4451351
2019,"01",3846846
2020,"01",4004534
2021,"01",5121411
2022,"01",4994154
2023,"01",1313018
2023,"02",291559
2023,"03",318446
2023,"04",288038
2023,"05",294860
2023,"06",283015
2023,"07",303725
2023,"08",325276
2023,"09",318612
2023,"10",327866
2023,"11",330023
2023,"12",340449
2024,"01",373374
2024,"02",362633
2024,"03",371586
2024,"04",352732
2024,"05",370122
2024,"06",344364
2024,"07",380774
2024,"08",373189
2024,"09",279901
2024,"10",218155
2024,"11",221469
2024,"12",240425
